,healthy_GSM4205771,healthy_GSM4205772,healthy_GSM4205773,healthy_GSM4205774,disease_GSM4205775,disease_GSM4205776,disease_GSM4205777,disease_GSM4205778
ENSG00000000003,25,79,22,22,35,37,33,48
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,30,104,63,48,20,31,32,30
ENSG00000000457,9,28,4,0,10,14,12,17
ENSG00000000460,7,56,30,5,2,8,7,11
ENSG00000000938,0,0,0,0,0,0,0,0
ENSG00000000971,24,95,48,29,50,57,54,76
ENSG00000001036,119,324,151,82,137,119,103,132
ENSG00000001084,32,78,37,31,34,33,31,30
ENSG00000001167,4,23,12,6,10,4,11,14
ENSG00000001460,15,16,8,18,5,14,12,8
ENSG00000001461,170,403,251,130,111,125,136,142
ENSG00000001497,30,46,52,17,25,38,38,36
ENSG00000001561,0,0,0,0,0,0,0,0
ENSG00000001617,2,23,7,3,33,16,9,39
ENSG00000001626,0,0,0,0,0,0,0,0
ENSG00000001629,58,133,122,89,82,96,117,152
ENSG00000001630,1,5,8,4,5,5,1,9
ENSG00000001631,83,171,69,40,87,84,77,133
ENSG00000002016,3,12,6,7,6,12,11,1
ENSG00000002330,57,103,31,48,56,38,39,40
ENSG00000002549,28,45,65,34,16,33,33,43
ENSG00000002586,273,899,469,342,322,330,303,310
ENSG00000002587,0,0,0,0,0,0,0,0
ENSG00000002726,0,0,0,0,0,0,0,0
ENSG00000002745,17,31,29,39,1,3,4,8
ENSG00000002746,2,0,2,3,2,1,3,2
ENSG00000002822,12,19,37,12,6,6,10,16
ENSG00000002834,708,1883,903,735,750,770,689,780
ENSG00000002919,15,81,18,15,15,17,24,16
ENSG00000002933,0,0,0,0,3,0,0,0
ENSG00000003056,87,198,94,72,79,60,58,67
ENSG00000003096,0,10,9,7,12,13,17,16
ENSG00000003137,0,0,0,0,0,0,0,0
ENSG00000003147,0,0,0,0,0,0,0,0
ENSG00000003249,24,61,18,17,9,7,10,18
ENSG00000003393,17,31,31,17,24,22,24,39
ENSG00000003400,12,18,3,2,8,7,4,6
ENSG00000003402,136,326,144,97,172,157,142,164
ENSG00000003436,267,693,518,322,199,265,241,221
ENSG00000003509,11,32,21,13,17,12,12,22
ENSG00000003756,53,99,64,63,46,120,79,120
ENSG00000003987,0,0,0,0,0,0,0,0
ENSG00000003989,0,0,6,0,3,5,2,4
ENSG00000004059,2,4,1,6,1,2,5,0
ENSG00000004139,11,7,4,8,14,7,15,17
ENSG00000004142,87,314,90,77,81,86,79,103
ENSG00000004399,20,41,48,17,49,38,39,29
ENSG00000004455,130,413,100,113,154,107,126,135
ENSG00000004468,0,2,0,0,0,0,0,0
ENSG00000004478,80,184,109,41,47,55,45,67
ENSG00000004487,23,51,30,28,20,31,21,30
ENSG00000004534,57,93,95,49,52,80,64,71
ENSG00000004660,3,12,6,0,2,2,4,5
ENSG00000004700,43,106,86,67,50,55,61,68
ENSG00000004766,15,36,6,8,8,13,16,13
ENSG00000004776,1143,1744,558,345,649,449,380,467
ENSG00000004777,2,7,2,1,2,7,2,0
ENSG00000004779,176,528,271,150,213,209,176,194
ENSG00000004799,0,0,0,1,0,0,0,0
ENSG00000004809,0,0,0,0,0,0,0,0
ENSG00000004838,1,0,0,0,1,2,0,2
ENSG00000004846,0,0,0,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,0,0,0
ENSG00000004864,12,36,19,20,18,26,24,21
ENSG00000004866,15,41,18,22,25,36,29,11
ENSG00000004897,112,320,220,151,136,194,212,236
ENSG00000004939,0,0,0,0,0,0,0,0
ENSG00000004948,0,0,0,0,0,0,0,0
ENSG00000004961,58,116,60,46,52,60,41,58
ENSG00000004975,28,44,45,26,66,63,33,51
ENSG00000005001,0,0,0,0,0,0,0,0
ENSG00000005007,119,239,110,84,100,68,63,82
ENSG00000005020,67,160,123,81,71,67,71,98
ENSG00000005022,98,498,236,184,132,170,146,92
ENSG00000005059,27,107,28,41,30,19,36,25
ENSG00000005073,0,0,0,1,1,0,0,1
ENSG00000005075,248,493,166,133,221,130,158,219
ENSG00000005100,67,118,104,45,47,49,40,49
ENSG00000005102,0,0,0,0,0,0,0,0
ENSG00000005108,3,1,3,0,1,6,4,4
ENSG00000005156,20,60,34,16,22,34,41,42
ENSG00000005175,27,97,76,71,36,71,77,122
ENSG00000005187,0,1,0,0,1,0,0,0
ENSG00000005189,11,53,24,8,5,15,4,8
ENSG00000005194,47,97,34,22,40,55,30,59
ENSG00000005206,26,48,20,9,37,35,22,32
ENSG00000005238,35,60,43,51,18,16,20,21
ENSG00000005243,65,157,72,40,74,60,56,92
ENSG00000005249,6,9,9,16,13,41,22,20
ENSG00000005302,32,64,67,80,36,71,87,111
ENSG00000005339,77,184,134,60,91,132,102,118
ENSG00000005379,2,0,0,0,1,3,1,6
ENSG00000005381,0,0,0,0,0,0,0,0
ENSG00000005421,0,0,0,0,0,0,0,0
ENSG00000005436,7,30,24,16,6,16,6,16
ENSG00000005448,55,142,91,49,97,76,55,93
ENSG00000005469,12,53,43,52,19,23,32,40
ENSG00000005471,0,0,0,0,3,1,0,0
ENSG00000005483,276,620,468,241,393,424,427,519
ENSG00000005486,34,117,51,37,51,44,41,54
ENSG00000005513,0,0,0,0,0,0,0,0
ENSG00000005700,93,215,199,85,123,141,148,170
ENSG00000005801,9,20,6,9,16,23,19,28
ENSG00000005810,97,222,214,159,123,194,183,199
ENSG00000005812,18,55,40,29,16,24,25,22
ENSG00000005844,0,0,0,0,0,0,0,0
ENSG00000005882,24,53,35,17,28,29,13,20
ENSG00000005884,164,359,115,90,211,105,131,154
ENSG00000005889,14,34,47,8,36,53,57,81
ENSG00000005893,118,290,157,172,152,193,157,170
ENSG00000005961,0,0,0,0,0,0,0,0
ENSG00000005981,0,0,0,0,0,0,0,0
ENSG00000006007,149,424,184,160,179,172,126,192
ENSG00000006015,62,151,54,41,84,60,65,80
ENSG00000006016,47,89,74,60,15,21,15,21
ENSG00000006025,1,12,2,0,6,8,3,5
ENSG00000006042,133,276,125,90,161,164,163,190
ENSG00000006047,0,0,0,0,0,0,0,0
ENSG00000006059,0,0,0,0,0,0,0,0
ENSG00000006062,11,19,5,0,12,9,9,8
ENSG00000006071,0,0,0,0,0,0,0,0
ENSG00000006116,0,0,0,0,0,0,0,0
ENSG00000006118,5,21,0,3,14,12,15,23
ENSG00000006125,368,1070,469,448,513,617,518,762
ENSG00000006128,0,0,0,0,0,0,0,0
ENSG00000006194,14,57,24,10,13,24,22,31
ENSG00000006210,0,0,0,0,0,0,1,0
ENSG00000006282,54,134,57,36,91,52,64,80
ENSG00000006283,0,0,2,3,0,1,0,0
ENSG00000006327,123,317,162,114,73,47,57,52
ENSG00000006377,0,0,0,0,0,0,0,0
ENSG00000006432,0,0,0,0,3,0,0,0
ENSG00000006451,240,725,315,188,322,224,207,263
ENSG00000006453,3,9,16,6,11,6,8,12
ENSG00000006459,7,18,3,4,6,6,6,11
ENSG00000006468,31,110,59,61,27,38,27,49
ENSG00000006530,13,29,9,6,4,9,15,15
ENSG00000006534,107,261,158,90,127,94,88,108
ENSG00000006555,0,0,0,0,0,0,0,0
ENSG00000006576,52,177,80,69,64,86,70,89
ENSG00000006606,3,3,0,2,2,2,0,1
ENSG00000006607,40,59,64,38,17,23,33,38
ENSG00000006611,0,0,0,0,0,0,0,0
ENSG00000006625,42,139,92,48,42,44,60,56
ENSG00000006634,25,71,73,61,17,50,33,75
ENSG00000006638,24,38,19,10,22,25,16,28
ENSG00000006652,11,46,9,12,16,25,18,15
ENSG00000006659,0,0,0,0,0,0,0,0
ENSG00000006695,10,50,16,5,11,21,10,10
ENSG00000006704,9,45,33,26,31,18,25,24
ENSG00000006712,79,188,121,91,68,84,72,113
ENSG00000006715,34,93,99,47,44,102,74,111
ENSG00000006740,0,0,1,0,6,1,3,3
ENSG00000006744,74,166,111,41,78,72,43,68
ENSG00000006747,0,0,0,0,0,0,0,0
ENSG00000006756,24,56,28,10,84,69,51,71
ENSG00000006757,12,51,14,9,21,14,23,15
ENSG00000006788,0,0,0,7,0,0,0,2
ENSG00000006831,63,99,70,71,73,94,74,106
ENSG00000006837,2,9,3,8,1,5,5,13
ENSG00000007001,0,0,0,0,0,0,0,0
ENSG00000007038,0,8,6,0,0,0,4,0
ENSG00000007047,86,137,59,49,126,74,51,102
ENSG00000007062,0,0,0,0,0,0,0,0
ENSG00000007080,55,121,35,9,58,26,49,58
ENSG00000007129,0,0,0,0,0,0,0,0
ENSG00000007168,116,346,228,125,133,191,144,167
ENSG00000007171,0,0,0,0,0,0,0,0
