"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000120885",2076.22177618649,2.83515774613111,0.172879917522014,16.3995783129066,1.92570072309645e-60,2.50822519183313e-56
"ENSG00000159403",384.256306710393,2.38134428298561,0.146365642424959,16.2698311129029,1.6160285821085e-59,1.05243861409816e-55
"ENSG00000175274",164.311684487203,4.21176709732605,0.271268528649337,15.5261914026544,2.30679573370298e-54,1.00153381438271e-50
"ENSG00000138061",142.285469205129,3.65579800424474,0.264215588526491,13.8364205709165,1.53670325011525e-43,5.0038899581878e-40
"ENSG00000099194",161.619183853781,3.21686462738321,0.235793150583912,13.642739915969,2.23021147149928e-42,5.80970088325562e-39
"ENSG00000125378",123.657298790305,5.82652619562104,0.431264754154814,13.5103231587747,1.35923488864643e-41,2.9506724041033e-38
"ENSG00000196616",98.9687301359902,3.39659260289673,0.260712949148627,13.0280932112827,8.46978869452028e-39,1.57598568208752e-35
"ENSG00000182985",113.405396457598,3.39516591427155,0.264465642302106,12.837833620721,1.00651743875256e-37,1.63873620496901e-34
"ENSG00000186340",81.847605827476,3.55014291067476,0.281745990813267,12.6005090628874,2.09786124901048e-36,3.03607141870683e-33
"ENSG00000204941",167.714272334169,-3.55662972207825,0.302487688282922,-11.7579321732647,6.42895541901432e-32,8.37371443326615e-29
